               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031024,            0.013727,           0.0087239,             0.70173,             0.40705,             0.62521,             0.32903,            0.033661,           0.0061102,           0.0062279,             0.00307,             0.00307,             0.00307
                  37,            0.032685,            0.015392,           0.0086483,             0.69021,             0.81251,              0.7198,               0.364,            0.031788,           0.0057373,           0.0052174,            0.002872,            0.002872,            0.002872
                  38,            0.032211,             0.01464,           0.0088191,             0.64045,             0.75439,             0.69569,             0.32763,            0.034396,           0.0052543,           0.0077156,            0.002674,            0.002674,            0.002674
                  39,            0.030618,            0.014044,           0.0077292,             0.84248,             0.77816,             0.80731,             0.34797,            0.033247,           0.0053883,           0.0058708,            0.002476,            0.002476,            0.002476
                  40,            0.032047,            0.014289,           0.0092091,             0.69728,             0.81102,             0.78489,              0.4076,            0.029992,           0.0055718,           0.0067886,            0.002278,            0.002278,            0.002278
                  41,            0.029072,            0.013645,            0.007984,              0.6671,             0.83843,             0.77925,             0.41226,             0.02679,            0.005372,           0.0075439,             0.00208,             0.00208,             0.00208
                  42,            0.034212,            0.014652,           0.0074745,             0.65425,             0.69765,              0.7386,              0.4335,             0.02273,           0.0052719,           0.0067497,            0.001882,            0.001882,            0.001882
                  43,            0.028743,            0.014104,           0.0070944,             0.64886,              0.7777,             0.74472,             0.46526,            0.022384,           0.0051026,           0.0068527,            0.001684,            0.001684,            0.001684
                  44,            0.026167,            0.013778,           0.0079197,             0.78254,              0.7569,             0.81143,             0.47788,            0.022236,             0.00488,           0.0056602,            0.001486,            0.001486,            0.001486
                  45,            0.029043,            0.013235,           0.0071258,             0.75056,               0.825,             0.84679,             0.52194,            0.019362,           0.0049124,           0.0050365,            0.001288,            0.001288,            0.001288
                  46,            0.030023,            0.013543,           0.0086098,             0.77622,             0.84538,             0.85409,             0.49808,            0.019309,           0.0049467,            0.005825,             0.00109,             0.00109,             0.00109
                  47,            0.022552,            0.012863,           0.0067207,             0.78226,               0.825,             0.81761,             0.47647,            0.019897,           0.0048671,           0.0077682,            0.000892,            0.000892,            0.000892
                  48,            0.025697,            0.013434,            0.009608,             0.73295,             0.85689,             0.81455,             0.44025,            0.020308,           0.0049067,            0.010183,            0.000694,            0.000694,            0.000694
                  49,            0.028249,            0.013064,            0.011718,             0.78569,             0.86658,             0.81725,             0.45937,            0.020228,           0.0049357,            0.011993,            0.000496,            0.000496,            0.000496
